Faculty Name,Categories,All Keywords
Neal Harris,"Economics, Entrepreneurship, Finance, Finance & Economics, Retail, Technology",Urban Economics; Environmental Economics; European Union Economics; Green Business Entrepreneurship; Case Study Analysis; Environmental Impact Assessment; Economic Impact Assessment; Stakeholder Analysis; Hydropower Infrastructure; Retail Sector Ethics; Real Estate Finance; Educational Technology; Disruptive Technologies; Smart City Development; Circular Economy; Ubiquitous Learning; Sustainable Finance
Nicholas Gallagher,"Accounting, Law & Governance, Economics, Entrepreneurship, Finance, Law, Technology",Entrepreneurial Law; Business Law; Corporate Law; Sports Law; Entrepreneurship; Investment Funds; ; Startup consulting; Venture capital; Corporate governance; Sports industry; Digital media; Startup contract law; Innovation ecosystem governance; Sports policy regulation; Investment fund regulation
Nicole Heron,"Accounting, Accounting, Law & Governance, Finance, Law, Marketing, Sustainability, Technology",managerial accounting; cost accounting; auditing; financial reporting; accounting education; case study methodology; literature review synthesis; risk modeling; empirical testing; qualitative analysis; financial services; consumer banking; manufacturing industry; investment management; audit firms; audit litigation risk; CSR disclosure quality; ESG reporting; forensic accounting; fraud detection
Nina Lynch,"Entrepreneurship, Entrepreneurship & Small Ventures",business administration; entrepreneurship; management studies; ; ; 
Niren Sirohi,"Data, Operations & Supply Chain, Law, Technology",Data Science; Business Intelligence; Information Architecture; Strategic Management; Data Governance; Machine Learning; Artificial Intelligence; Cloud Infrastructure; Analytics Product Development; Decision Support Systems; Process Improvement; Revenue Optimization; Customer Experience Management; Consulting Services; Digital Transformation; AI driven Decision Systems; Data driven Change Management; Cross Cultural Team Dynamics
Norm Richter,"Accounting, Law & Governance, Economics, Healthcare, Law, Technology",Tax Policy; Tax Law; International Taxation; Corporate Taxation; Legislative Analysis; Fiscal Modeling; Comparative Legal Analysis; Quantitative Tax Analysis; Policy Impact Assessment; Multinational Corporate Taxation; Pharmaceutical Taxation; Biotech Industry Taxation; Medical Device Taxation; Industrial Manufacturing Taxation; Global Minimum Tax; BEPS Framework; Digital Economy Taxation; Tax Transparency
Olga Birioukova,"Accounting, Accounting, Law & Governance, Finance, Technology",Accounting Information Systems; Financial Reporting; Auditing Practices; Business Process Analysis; Robotic Process Automation; Data Analytics; Process Automation; Digital Transformation; Public Accounting; CPA Practice; Virtual Workplace; Professional Services; Digital Labor; Digital Workforce; Automation Competencies; Digital Innovation in Accounting
Olivia Baldwin,Leadership & Organizational Development,Visual Arts; Painting; Drawing; Sculpture; Interdisciplinary Art; Acrylic painting; Watercolor painting; Mixed media drawing; Sculptural techniques; Gallery exhibitions; Arts education; Art curation; Painting-poetry intersection; Expanded painting field; Intermedia art
Patrick Gregory,"Finance, Finance & Economics, Healthcare, Sustainability, Technology",Investment Management; Security Analysis; Portfolio Management; Equity Valuation; Risk Management; Fundamental Analysis; Discounted Cash Flow; Performance Attribution; Portfolio Optimization; Risk Modeling; Healthcare Equity Investing; Internet Sector Investing; Telecom Sector Investing; Endowment Fund Management; Retirement Fund Management; ESG Investing; Sustainable Finance; Impact Investing
Paul Griesmer,"Economics, Finance, Finance & Economics, Retail, Technology",Real estate finance; Real estate development; Real estate valuation; Corporate real estate; Urban economics; Financial modeling; Valuation techniques; Portfolio analysis; Site selection analysis; Transaction structuring; Due diligence; Hospitality real estate; Office property management; Retail real estate; Mixed-use development; Sale-leaseback transactions; Real estate restructuring; 
Paul Juras,"Accounting, Finance, Healthcare, Innovation & Strategy, Law, Operations, Sustainability",Management Accounting; Strategic Cost Analysis; Activity Based Costing; Cost Management; Performance Measurement; Balanced Scorecard; COSO Framework; Case Analysis; Integrated Thinking; Identity and Access Management; Supply Chain Management; Healthcare Delivery; Banking Governance; Aviation Performance; Outsourcing Management; ESG Reporting; Sustainable Business Management; Trust in Sustainability Reporting; Industry 4.0
Paul Schmitz,"Economics, Humanities & Cultural Studies, Technology",American Cultural Studies; Business History; Immigration History; Modern American History; Urban Studies; Archival Research; Oral History; Qualitative Analysis; Quantitative Analysis; Spatial Analysis; Museum Curation; Heritage Management; Cultural Policy; Urban Planning; Digital Humanities; Socio-Ecological Systems; Urban Ecology; Spatial Humanities
Peter Lert,"Data, Operations & Supply Chain, Finance, Healthcare, Operations, Technology",Applied Mathematics; Mathematical Modeling; Data Analytics; Quantitative Analysis; Statistical Modeling; Optimization Techniques; Simulation Modeling; Machine Learning; Financial Analytics; Supply Chain Analytics; Healthcare Analytics; Risk Management; Artificial Intelligence; Network Science; Big Data; Computational Science
Phillip Kim,"Entrepreneurship, Entrepreneurship & Small Ventures, Technology",Entrepreneurship; Social Innovation; Technology Entrepreneurship; Startup Processes; Institutional Entrepreneurship; Cross-national Entrepreneurship; Survey Research; QCA; Set-theoretic Modeling; Archival Analysis; Mixed Methods; Census Data Analysis; Crowdfunding Platforms; Technology Transfer Offices; Radio Broadcasting; Manufacturing Sector; Agriculture Sector; Non-profit Sector; Generative AI Entrepreneurship; Complex Causal Analysis; Multidisciplinary Entrepreneurship; Social Protection Entrepreneurship; Innovation Pedagogy
PJ Guinan,"Innovation & Strategy, Marketing, Technology",Information Systems; Innovation Management; Organizational Behavior; Change Management; Communication Behavior Analysis; Design Thinking; Social Media Analytics; Case Study Methodology; Digital Project Management; Qualitative Content Analysis; Enterprise IT Services; Management Consulting; Social Media Marketing; Customer Experience Management; Digital Business Scaling; Digital Customer Experience; Crisis of Immediacy; Digital Service Innovation; Web 2.0 Innovation; IT Professional Innovation
Rachel Weiser,"Humanities & Cultural Studies, Technology",Modern European History; Modern German History; Gender and Sexuality Studies; Memory and Memorialization; Museum Studies; Digital Humanities; Archival Research; Museum Curation; Digital Archiving; Digital Exhibition Design; Oral History Interviews; Cultural Heritage Management; Museum Education; Public History Outreach; Heritage Preservation; Digital Memorialization; Interactive Exhibits; Virtual Museum Technology; Digital Memory Studies; Gender and Digital Archives
Ramon Salinas,"Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Technology",Innovation Management; Corporate Strategy; Entrepreneurship Education; Human-Centered Design; Design Thinking; User-Centered Research; Innovation Process Framework; Consumer Research Methods; Automotive Industry; Oil and Gas Sector; Healthcare Products; Consumer Goods; Service Design; Open Innovation; Digital Innovation; Corporate Venturing
Richard Bliss,"Entrepreneurship, Finance, Finance & Economics, Sustainability, Technology",Corporate Finance; Entrepreneurial Finance; Behavioral Finance; Alternative Investments; Corporate Strategy; Behavioral Experiments; Econometric Modeling; Network Analysis; Comparative Analysis; Case Study Method; Mutual Fund Management; Portfolio Management; Mergers and Acquisitions; Small Business Finance; Emerging Market Finance; ESG Investing; Women Entrepreneurship; Gender Diversity; Innovative Financial Technologies
Richard Block,"Accounting, Entrepreneurship, Finance, Finance & Economics, Operations, Technology",Activity based costing; Activity based budgeting; Managerial accounting; Management reporting; Working capital management; Spreadsheet modeling; IRR analysis; Accounting information systems; Financial data analytics; Energy industry finance; Film production finance; Supply chain consulting; Venture capital finance; 
Richard Cleary,"Data, Operations & Supply Chain, Finance, Technology",Statistics; Biomechanics; Sports Analytics; Market Research; Mathematics Education; Probability Modeling; Statistical Inference; Linear Algebra; Risk Assessment; Biomechanical Modeling; Sports Performance Analysis; Educational Assessment; Market Research Analytics; Fracture Risk Prediction; Fraud Detection; Social Choice Theory; Mathematical Fairness; Curriculum Pathways Design; Mathematical Oncology; Inclusivity in Mathematics
Richard Hanna,"Finance, Marketing, Marketing & Consumer Behavior, Technology",Digital Marketing; Consumer Decision Making; Marketing Research; Promotional Strategies; Social Media Marketing; Brand Management; Marketing Analytics; Statistical Modeling; Crowdsourcing Methods; Price Promotion Optimization; Multimedia Content Analysis; Email Marketing; eSports Media Marketing; B2B Marketing; Pricing Strategy; Social Media Advertising; Storytelling in Multimedia; Online Price Transparency; Consumer Technology Adoption; Marketing Ethics and Leadership
Richard Wang,"Economics, Entrepreneurship, Innovation & Strategy, Retail, Technology",Competitive strategy; Innovation management; Business-government policy; Industry analysis; Entrepreneurship; Case study methodology; Field research; Qualitative research; Competitive analysis; Ecosystem analysis; Platform analytics; Satellite television industry; Digital publishing platforms; Cannabis retail sector; Aerospace maintenance; Luxury goods manufacturing; Tournament-based innovation; Regulatory impact analysis; Digital ecosystem strategy; Cannabis market dynamics; Public policy analytics
Robert Barry,"Accounting, Law & Governance, Finance, Law",Business Law; Legal Ethics; Contract Law; Corporate Governance; Legal Research Methods; Case Law Analysis; Doctrinal Analysis; Regulatory Compliance; Corporate Compliance; Legal Consulting; Risk Management; 
Robert Bonnevie,"Leadership & Organizational Development, Technology",Organizational Psychology; Leadership Development; Executive Coaching; Management Assessment; Career Counseling; Conflict Management; Psychometric Assessment; 360-Degree Feedback; Competency Modeling; Coaching Interventions; Change Management Strategies; Leadership Workshops; Corporate Leadership Development; Human Resources Consulting; Organizational Development Services; Career Management Programs; Change Management Consulting; 
Robert McCullough,"Humanities & Cultural Studies, Technology",Composition Theory; Multimodal Composition; Digital Rhetoric; Archival Studies; Critical Literacies; Assemblage Theory; Digital Composing Platforms; Multimodal Analysis; Archival Research Methods; Heuristic Analysis; Text Technologies; Business Communication; Professional Communication; Writing Program Administration; Education Technology; AI Assemblages; Ethical AI Studies; Computational Rhetoric; Digital Humanities
Robert Schultz,"Entrepreneurship, Healthcare, Innovation & Strategy, Technology",Biotechnology enterprise; Healthcare entrepreneurship; Patient advocacy; Rare disease management; Life science entrepreneurship; SaaS platform development; Business intelligence analytics; Patient monitoring systems; Innovation ecosystem mapping; Cystic fibrosis monitoring; Rare disease therapeutics; Healthcare startup incubation; Life science consulting; Patient-driven business models; Digital health innovation; Healthtech entrepreneurship; Interdisciplinary biotech ecosystems
Ron Pierantozzi,"Innovation & Strategy, Technology",innovation management; strategic management; portfolio strategy; product development; portfolio analysis; quantitative modeling; stage-gate process; case study methodology; corporate R&D; technology commercialization; manufacturing sector; service innovation; open innovation; digital transformation; innovation ecosystems; dynamic capabilities
Ruben Mancha,"Entrepreneurship, Innovation & Strategy, Technology",Digital Transformation; Corporate Social Responsibility; Information Systems; Digital Entrepreneurship; Innovation Management; Structural Equation Modeling; Data Mining; Low-Code Development; IoT Integration; Business Analytics; IoT Digital Services; Nonprofit Digital Platforms; Small and Medium Enterprises; Entrepreneurial Education; Sharing Economy Platforms; Citizen Development; Digital Academies; Digital Leadership; Emergent IoT Strategies; Digital Talent Management
Ruth Gilleran,"Accounting, Data, Operations & Supply Chain, Entrepreneurship, Finance, Marketing, Operations, Retail, Technology",Information systems; Business intelligence; Enterprise resource planning; eCommerce; Supply chain management; Accounting information systems; Supervised machine learning; Agile methodology; Cloud computing; Blockchain technology; Business analytics; Experiential learning; Consumer goods industry; Diamond supply chain; Financial auditing systems; Mainframe software deployment; eCommerce platforms; Business application development; Blockchain in supply chain; AI for entrepreneurship; Digital brand strategy; Accountant digital innovation; Experiential digital learning
Ryan Davies,"Finance, Finance & Economics, Law, Technology",Financial market microstructure; Securities regulation; Price discovery; Portfolio optimization; Fixed income markets; Derivatives markets; Matched sample estimation; Trading simulation software; Real-time market data; Portfolio optimization method; Trade-time liquidity metrics; Mutual fund trading; Hedge fund management; Commodity futures trading; Capital markets trading; Algorithmic trading strategies; RegTech in capital markets; Market manipulation detection; High-frequency market analysis
Salvatore Parise,"Entrepreneurship, Finance, Innovation & Strategy, Marketing, Technology",Knowledge Management; Innovation Management; Digital Transformation; Social Media Research; Social Networks; Strategic Alliances; Crowdsourcing; Social Network Analysis; Web 2.0 Technologies; Digital Project Management; Enterprise 2.0 Platforms; Educational Technology; Customer Experience Management; Project Management; Music Industry; Financial Services; Entrepreneurship; Generative AI in Education; Digital Academies; Digital Leadership; Emotional Carrying Capacity; Innovative Digital Project Teams
Sam Kwachie,"Economics, Finance & Economics",Economics; ; ; 
Samantha Cross,"Economics, Marketing, Marketing & Consumer Behavior, Sustainability",consumer behavior; marketing science; consumer psychology; social movement studies; narrative analysis; survey research; experimental design; qualitative interviews; marketplace dynamics; service disparity analysis; environmental advocacy; public policy marketing; narrative-driven activism; market-challenged consumers; climate action mobilization; responsible business research
Samantha Wallace,"Humanities & Cultural Studies, Technology",English Language and Literature; Expository Writing; Academic Research Writing; Women’s Literature; Global Cultural Studies; Interdisciplinary Multimedia Studies; Multimedia Pedagogy; Digital Humanities Methods; Qualitative Textual Analysis; Interdisciplinary Teaching Methods; Higher Education; Academic Publishing; Digital Education Platforms; Cultural Institution Programming; Transmedia Storytelling; Virtual Reality Education; Feminist Digital Archives; Global Digital Literacy
Sandra Bravo,"Entrepreneurship, Marketing, Marketing & Consumer Behavior, Technology",Marketing Strategy; Marketing Communications; Marketing Research; Consumer Behavior; Entrepreneurship; Experiential Learning; Digital Brand Strategy; Advertising Campaign Development; Positioning Strategy; Value Proposition Design; Nonprofit Marketing; Foster Care Advocacy; Environmental Services Marketing; Recruitment Marketing; SME Marketing; Social Impact Marketing; Social Entrepreneurship; Multicultural Advertising; Experiential Information Systems; Humanitarian Crisis Communication
Sandra Graham,Humanities & Cultural Studies,Ethnomusicology; African American Music; Musical Theater; Blackface Minstrelsy; Global Popular Music; Music Traditions; Ethnographic Fieldwork; Archival Research; Performance Analysis; Music Transcription; Audio Recording; Entertainment Industry Studies; Music Education; Cultural Heritage Preservation; Music Publishing; Arts Administration; Music Memory Studies; Transnational Pop Music; Black Entertainment Industry Studies; Decolonial Ethnomusicology
Sarah Quinn,"Leadership & Organizational Development, Sustainability",Coastal marine ecosystems; Marine ecology; Biogeochemistry; Oceanography; Climate change impacts; Water-quality monitoring; Biogeochemical flux analysis; Molecular ecology methods; Field-based sampling; Coastal pollution mitigation; Environmental impact assessment; Sustainable coastal management; Marine resource management; Silicon cycling in macroalgae; Estuarine hypoxia dynamics; Nitrous oxide sediment uptake; Sediment nitrogen fixation
Saskia Kusnecov,"Data, Operations & Supply Chain, Technology",Library Science; Information Literacy; Instructional Design; Academic Librarianship; Humanities Librarianship; Digital Libraries; Metadata Standards; Information Retrieval; Research Data Management; Library Instruction Technology; Academic Libraries; Higher Education; Research Support Services; Digital Scholarship; Data Curation; Digital Humanities; Linked Data; Open Science; AI in Libraries
Scott Taylor,Leadership & Organizational Development,Leader development; Leadership assessment; Emotional intelligence; Organizational behavior; Competency development; 360-degree feedback; Executive coaching; Self–other rating; Psychometric assessment; Field experiments; Executive training; Leadership consulting; Gender bias mitigation; Talent management; Organizational development; Sustainable change; Virtual coaching; Resonant leadership; MeToo workplace dynamics; COVID-19 leadership
Scott Todaro,"Leadership & Organizational Development, Technology",Organizational Behavior; Leadership Development; Career Development; Meaningful Work; Work as a Calling; Meta-Analysis; Film-Centered Pedagogy; Data-Driven Exercises; Digital Learning Platforms; Strategy Consulting; Media Industry; Entertainment Industry; Executive Education; Ethics of Meaningful Work; Pro-Environmental Behavior; Digital Pedagogies
Sebastian Fixson,"Entrepreneurship, Healthcare, Innovation & Strategy, Law, Operations, Technology",Innovation Management; Design Thinking; Product Design and Development; Operations Management; Corporate Entrepreneurship; Design Thinking Methodology; Digital Design Tools; Innovation Process Governance; Simulation-based Learning; Problem Identification Framework; Healthcare Innovation; Manufacturing Systems; Software Development; Start-up Operations; Digital Transformation; Innovation Workforce Skills; Ethical Design; Open Innovation Challenges
Shannon Mooney,"Humanities & Cultural Studies, Technology",Multiethnic U.S. Literature; Cultural Geography; Rhetoric and Composition; Writing Center Studies; American Studies; Digital Archival Analysis; Affective Historiography; Sonic Analysis; Rhetorical Analysis; Qualitative Content Analysis; Writing Center Pedagogy; Curriculum Development; Educational Program Assessment; Digital Sound Studies; Media Cultural Geographies; Sonic Whiteness Studies; Affective Media Analysis
Sharon Sinnott,"Entrepreneurship, Leadership & Organizational Development, Technology",Corporate Communication; Public Speaking; Speech Communication; Business Communication; Presentation Skills Training; Rhetorical Analysis; Speech Coaching Techniques; Audience Analysis; Communication Assessment; Corporate Training Programs; Executive Coaching; Entrepreneurship Education; Higher Education Instruction; Speech Consulting Services; Virtual Presentation Technologies; AI Speech Analytics; Online Public Speaking Education; Digital Communication Platforms
Sinan Erzurumlu,"Entrepreneurship, Innovation & Strategy, Law, Operations, Sustainability, Technology",Operations Management; Innovation Management; Technology Entrepreneurship; Sustainability; Systems Thinking; Configurational Analysis; Machine Learning; Artificial Intelligence; Manufacturing Operations; Service Operations; Startup Scaling; Aging Innovations; Sustainable Goods; Business Model Innovation; Environmental Social Governance; Social Innovation; Sustainable Development Goals
Spencer Adams,"Finance, Finance & Economics, Technology",Corporate Finance; Investment Banking; Mergers and Acquisitions; Capital Markets; Financial Modeling; Discounted Cash Flow; Valuation Modeling; Deal Structuring; Capital Structure Analysis; Risk Assessment; Private Equity; Debt Financing; Equity Financing; IPO Advisory; Corporate Restructuring; 
Stephen Bauer,Humanities & Cultural Studies,Creative Writing; Creative Nonfiction; Composition Studies; Business Writing; Literary Analysis; Textual Analysis; Close Reading; Critical Inquiry; Workshop Facilitation; Academic Publishing; Magazine Editing; Business Communication; Higher Education; Practice-Based Research; Place-Based Narratives; Interdisciplinary Storytelling; Creative Pedagogy
Stephen Brand,"Entrepreneurship, Entrepreneurship & Small Ventures, Marketing, Technology",Entrepreneurship Strategy; Innovation Management; Design Thinking; Entrepreneurial Ecosystems; International Entrepreneurship; Design Thinking Methodology; Ecosystem Assessment; Venture Development; Entrepreneurship Education; Business Model Innovation; Emerging Markets Entrepreneurship; Middle East Entrepreneurship; Ecosystem Capacity Building; Private Enterprise Promotion; Executive Education; Data-Driven Ecosystem Assessment; Cross-Cultural Entrepreneurship; Entrepreneurship for International Development
Stephen Holley,Humanities & Cultural Studies,Music Learning and Teaching; Music Education; Jazz Performance; Classical Bass Performance; Music Pedagogy; Studio Recording Techniques; Live Sound Engineering; Commercial Music Production; Ensemble Direction; Commercial Music Industry; School Based Music Programs; Live Performance Sector; Music Broadcasting; 
Stephen Lanzendorf,"Finance, Finance & Economics, Sustainability, Technology",Investment management; Portfolio management; Equity investing; Institutional finance; Quantitative modeling; Performance attribution; Risk management; Portfolio optimization; Mutual funds; Institutional asset management; Wealth management; Pension fund investing; ESG integration; Fintech applications; Alternative data analytics; Machine learning finance
Stephen Muscolino,"Humanities & Cultural Studies, Marketing, Technology",critical literary theory; contemporary American fiction; digital media studies; social media theory; writing pedagogy; civic engagement; digital humanities; critical discourse analysis; content analysis; digital archiving; participatory action research; prison education programs; civic engagement initiatives; criminal justice reform; digital media industries; cultural digitization; carceral media studies; digital civic engagement; social media justice
Steven Feinstein,"Accounting, Accounting, Law & Governance, Finance, Law, Technology",Corporate Valuation; Fixed Income Securities; Derivative Instruments; Investment Analysis; Forensic Finance; Event Study Methodology; Volatility Regime Modeling; Derivatives Valuation Modeling; Quantitative Risk Analysis; Forensic Accounting Methods; Securities Litigation; ERISA Litigation Analysis; Complex Business Litigation; Financial Consulting; Pandemic Market Volatility; Securities Fraud Analytics; Yield Burning Analysis
Steven Gordon,"Data, Operations & Supply Chain, Economics, Finance, Operations, Technology",Information Systems; Digital Platforms; Social Movement Studies; Cryptocurrency Economics; Blockchain Technology; Case-Based Research; Game Theoretic Modeling; Economic Analysis; Digital Ledger Technology; Systemic Risk Modeling; Supply Chain Management; Airline Industry; Diamond Industry; Financial Services; Stablecoins; Central Bank Digital Currencies; Blockchain for Social Movements; Multi-Sided Platform Strategies
Susan Losapio,"Accounting, Accounting, Law & Governance, Finance, Law, Sustainability, Technology",Management Accounting; Auditing Practice; Financial Accounting; Behavioral Accounting; Experimental Design; Quantitative Analysis; Heuristic Analysis; Analytical Review; Audit Committee Oversight; Financial Disclosure; Earnings Management Detection; Corporate Governance; Cognitive Bias Mitigation; Information Contagion; Error-Management Climate; Auditor Liability Assessment
Talmai Oliveira,"Finance, Law, Leadership & Organizational Development, Technology",Data Privacy; Distributed Systems; Wireless Networking; Fault-Tolerant Computing; Internet of Things; Software Architecture; Blockchain Protocols; Smart Contract Development; Distributed Ledger Technology; Fault Tolerance Methods; Data-Driven Services; NFT Trading Platforms; Blockchain-Enabled Games; IoT Applications; Blockchain Payment Networks; Wireless Communication Systems; Decentralized Finance; Blockchain Scalability; IoT Security; Privacy-Preserving IoT
Terence Reilly,"Finance, Finance & Economics, Technology",Decision Analysis; Risk Analysis; Finance; Applied Statistics; Multivariate Distributions; Sensitivity Analysis; Copula Modeling; Monte Carlo Simulation; Structural Equation Modeling; Decision Trees; Simulation Modeling; Financial Risk Analysis; Insurance Risk Management; Corporate Finance; Banking Industry; Business Analytics; Data-Driven Decision Making; Computational Risk Analytics; Financial Simulation Analytics
Thomas Davenport,"Data, Operations & Supply Chain, Finance, Healthcare, Marketing, Technology",Business Analytics; Artificial Intelligence; Information Technology Management; Data Science; Digital Transformation; Machine Learning; Predictive Analytics; MLOps; Robotic Process Automation; Decision Automation; Big Data Analytics; Healthcare Analytics; Financial Services Analytics; Manufacturing Analytics; Sports Analytics; Marketing Analytics; HR Analytics; Generative AI; AI-driven Leadership; Digital Workforce; Cognitive Analytics; Grassroots Automation
Thomas Greenaway,"Accounting, Accounting, Law & Governance, Law",Federal Income Tax; International Income Tax; Tax Controversy Resolution; Tax Litigation Procedure; Organizational Behavior; Management Education; Qualitative Research; Survey Research; Case Law Analysis; Regulatory Analysis; Tax Advisory Services; Public Accounting Firms; Government Tax Agencies; Dispute Resolution Practice; Work-Life Transitions; Curriculum Innovation; Maternal Optimism; International Tax Enforcement
Timothy Habbershon,"Entrepreneurship, Finance, Innovation & Strategy, Technology",Family Business; Entrepreneurship; Business Succession; Strategic Management; Case Study Methodology; Survey Research Methods; Succession Planning Frameworks; Family-Owned Businesses; Financial Services Sector; Retirement Savings Plans; Mutual Fund Management; Intergenerational Entrepreneurship; Socioemotional Wealth; Digital Transformation in Family Firms; Family Business Resilience
Tina Opie,"Healthcare, Leadership & Organizational Development",Organizational Behavior; Diversity and Inclusion; Employee Engagement; Group Dynamics; Workplace Discrimination; Survey Methodology; Experimental Design; Social Network Analysis; Qualitative Interviews; Field Experiments; Inclusive Leadership Development; Employee Wellness Programs; DEI Training Initiatives; Team Engagement Strategies; Health-Centric Diversity; Peripheral Member Inclusion; Collective Power Dynamics; Woke Diversity Strategies
Tony Okoromadu,"Economics, Finance, Finance & Economics, Technology",International Business; Development Economics; Corporate Finance; Managerial Economics; Business Strategy; Market Intelligence; Financial Modeling; Data Deployment; Case Study Method; Linear Systems Solver; Business Consulting; Economic Development; Executive Education; Automotive Industry; Nonprofit Management; Sustainable Finance; Hybrid Learning Models; Experiential Learning; Inclusive Business Practices
Tyler Hauth,Leadership & Organizational Development,; ; ; 
Uruppattur Rangan,"Innovation & Strategy, Law, Retail, Technology",Competitive Strategy; Economic Development; Global Strategy; National Competitiveness Strategy; Strategic Alliances; Case Study Research; Comparative Analysis; Conceptual Framework Development; Qualitative Research Methods; Food Retail Industry; Manufacturing Sector; Software Industry; Quick Service Restaurants; Digital Platform Markets; Antitrust Regulation; Digital Economy; Platform Regulation; CEO Vulnerability Modeling; Anti-competitive Market Distortions
Vicky Zhu,"Data, Operations & Supply Chain, Technology",Applied Mathematics; Computational Neuroscience; Machine Learning; Data Science; Recurrent Neural Networks; Computational Modeling; Statistical Inference; Reparameterization Techniques; Causal Inference; Predictive Business Analytics; Business Intelligence; Statistical Consulting; Neuro-inspired Machine Learning; Biologically-plausible Networks; Neural Dynamics Modeling; Natural Language Modeling; Reinforcement Learning
Victor Seidel,"Entrepreneurship, Innovation & Strategy, Marketing, Technology",Technology Management; Innovation Management; Product Design; Design Process; Open Innovation; Crowdsourcing; Network Analysis; Social Media Analysis; Design Space Exploration; Online Community Engagement; Semiconductor Devices; R&D Management; Start-up Innovation; Product Marketing; Digital Innovation Platforms; Crowd-Based Innovation; Innovation Networks; Technological Framing; Continuous Innovation
Victoria Crittenden,"Entrepreneurship, Marketing, Marketing & Consumer Behavior, Retail, Sustainability, Technology",Strategic Marketing; Marketing Education; Entrepreneurship Theory; Consumer Behavior; Sales Management; Case Study Research; Vignette Method; Qualitative Analysis; Social Media Analytics; MOOC Platforms; Microentrepreneurship; Emerging Economies; E-commerce Sales; Influencer Campaigns; Public Affairs; Digital Disruption; Women Entrepreneurship; Influencer Marketing; Gig Economy; Sustainability
Vikki Rodgers,"Leadership & Organizational Development, Technology",Ecology; Biogeochemistry; Conservation Biology; Urban Ecology; Socio-ecological Systems; Biogeochemical analysis; Field experiments; Demographic modeling; Botanical surveying; Urban planning; Sustainable development; Green infrastructure; Environmental education; Biomimicry design; Four-dimensional ecology education; Socio-ecological innovation; Systems thinking in ecology
Vincent Onyemah,"Entrepreneurship, Leadership & Organizational Development, Marketing, Technology",Professional Selling; Sales Force Management; Entrepreneurial Selling; Marketing Management; Revenue Management; Field Experimentation; Case Study Analysis; Survey Research; Cross-Cultural Research; Virtual Sales Analytics; SME Growth Interventions; Entrepreneurship Ecosystems; Franchising; Bank Marketing; Executive Education; Digital Sales Enablement; Inclusive Entrepreneurship; Gender-Specific Selling; Pandemic Resilience Strategies; Ecosystem-Based Scaling
Virginia Rademacher,"Finance, Humanities & Cultural Studies, Technology",Hispanic Literature; Literary and Cultural Studies; Film Studies; Narrative Theory; Biographical Fiction; Narrative Analysis; Qualitative Content Analysis; Genre Analysis; Interdisciplinary Research; Cultural Analysis; Video Game Industry; Higher Education; Publishing Industry; Cultural Institutions; Biofiction Studies; Speculative Risk Theory; Post-Truth Narratives; Political Biofictions; Digital Narratives
Vivian Leung,"Leadership & Organizational Development, Retail, Sustainability",Fluvial geomorphology; River restoration; Channel dynamics; Aquatic ecology; Environmental geology; Physical flume experiments; Fieldwork surveys; GIS mapping; Hydrologic monitoring; Dam removal assessment; River habitat restoration; Water resource management; Environmental impact assessment; Socio-ecological systems; Ecohydrology; Nature-based solutions; Climate change impacts
Wanyi Wang,"Finance, Finance & Economics, Marketing, Technology",Empirical asset pricing; Behavioral finance; Empirical finance; Textual analysis; Machine learning; Econometric modeling; Mutual fund analysis; Earnings call analysis; Capital markets; Financial services; Financial technology; AI in finance; Natural language processing
Wendy Jeffus,"Finance, Finance & Economics, Law, Technology",Corporate Finance; Mergers and Acquisitions; International Finance; Financial Regulation; Initial Public Offerings; Currency Risk Management; Event Study Methodology; Regression Analysis; Case Study Analysis; Financial Modeling; Investment Banking; Banking Sector; Latin American Markets; Depository Receipts; Regulated Industries; 
Wendy Murphy,"Entrepreneurship, Healthcare, Leadership & Organizational Development",Organizational Behavior; Leadership; Negotiation; Career Development; Mentoring; Work-Life Interface; Social Network Analysis; Mediation Analysis; Mixed Methods; Case Study Method; Executive Education; Healthcare Innovation; Small Business Development; Women’s Leadership Training; Corporate Mentoring Programs; Reverse Mentoring; Developmental Networks; Diversity and Inclusion; Informal Mentoring Networks; Career Well-Being
Weston Miller,"Humanities & Cultural Studies, Law, Marketing, Technology",Composition Studies; Creative Writing; Literary Analysis; Rhetoric and Writing; Writing Pedagogy; Textual Analysis; Discourse Analysis; Qualitative Methods; Narrative Inquiry; Corporate Communications; Advertising Copywriting; Legal Writing; Content Strategy; Digital Storytelling; AI-assisted Writing; Interdisciplinary Narrative; Digital Humanities
Wiljeana Glover,"Entrepreneurship, Healthcare, Innovation & Strategy, Operations",healthcare operations; healthcare innovation; global health; operations management; healthcare entrepreneurship; systems engineering; lean methodology; process improvement; implementation science; systems thinking; experiential learning; quality improvement; hospital operations; revenue cycle management; healthcare start-ups; global health programs; healthcare education; health venture labs; equity-centered quality improvement; compassion-centric organizations; inclusive practice frameworks; health entrepreneurship ecosystems; global health innovation labs
William Gartner,"Entrepreneurship, Entrepreneurship & Small Ventures",family entrepreneurship; family business research; entrepreneurial practices; rural entrepreneurship; succession studies; systematic literature review; community of practice analysis; narrative analysis; qualitative case study; family business succession; rural tourism development; adolescent entrepreneurship; legacy management; fiction and entrepreneurial imagination; family entrepreneuring; intergenerational legacy transmission; fiction-based methodologies
