Faculty Name,Profile Interests,Categories,All Keywords
Mary Durkin,,"Accounting, Artificial Intelligence, Law & Governance, Technology","Accounting assessment, Accounting education, AI-assisted auditing, Artificial intelligence chatbots, Audit disclosure, Audit quality, Auditing, Auditor performance, Behavioral accounting, Behavioral experiments, Cognitive bias mitigation, Decision aids, Decision making, Disconfirming information processing, Experimental priming, Fractional truth analysis, Generative AI in accounting, Metaphoric framing, Professional skepticism"
Mary Gale,"Managing Growth, New Venture Creation, Social Entrepreneurship, Technology Entrepreneurship, Entrepreneurship","Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Operations, Technology","Business Model Canvas, Case Study Research, Consumer Electronics, Consumer Packaged Goods, Diagnostic Technologies, Digital Health Services, EdTech Innovation, Education, Entrepreneurship Education, HealthTech Entrepreneurship, Innovation Management, Lean Startup Methodology, Market Segmentation Analysis, Operations Management, Product Management, Software Services, Startup Ecosystems, Strategic Marketing, Strategic Planning, Telecommunications, Telemedicine Platforms"
Mary Godwyn,"Critical, Gender, Sociology Of Entrepreneurship, Classical Social Theory","Entrepreneurship, Leadership & Organizational Development, Technology","Business Ethics, Case Study Analysis, Classical Social Theory, Constructive Conflict Management, Critical Social Theory, Early-career Outcomes, Emotional Dynamics in Organizations, Entrepreneurship Education, Gender Equity Interventions, Gender Studies, Nonprofit Human Services, Qualitative Interviews, Sales Interactions, Service Industry, Sociology of Entrepreneurship, Symbolic Interactionism, Theoretical Modeling, Women's Business Centers"
Mary O'Donoghue,"Fiction, Irish Literature, Literary Editing, Literature In Translation, Poetry, Translation, Creative Writing","Economics, Humanities & Cultural Studies","Arts Residency Programs, Book Publishing, Contemporary Poetry, Creative Writing, Creative Writing Pedagogy, Cultural Policy, Irish Literature, Literary Fiction, Literary Translation, Short Story Studies, Translation Studies"
Mary Pinard,"Writing Pedagogy, Contemporary American Poetry",Humanities & Cultural Studies,"Acoustic Ecology, Arts Education, Close Reading, Creative Writing, Documentary Poetry, Ecocriticism, Ecopoetics, Ekphrastic Analysis, English Literature, Higher Education, Literary Criticism, Literary Publishing, Poetry Studies, Qualitative Analysis, Rhetoric Studies, Socio-Ecological Systems, Workshop Pedagogy, Writing Center Administration"
Matthew Macarty,"Machine Learning, Process Automation, Data Analytics & Visualization","Artificial Intelligence, Data, Finance, Operations & Supply Chain, Technology","AI-Driven Automation, Business Intelligence, Data Analytics, Data Visualization, Decision Sciences, Decision Support Systems, Defense Analytics, Educational Technology, Explainable AI, Financial Market Analysis, Intelligent Tutoring Systems, Learning Analytics, Machine Learning, Natural Language Processing, Object Detection, Predictive Modeling, Process Automation, Python Programming, Statistical Analysis"
Mattia Landoni,,"Finance, Finance & Economics, Law, Technology","bond issuance, corporate finance, cryptocurrency markets, cryptocurrency taxation, digital asset regulation, event study methodology, financial intermediation, financial market regulation, fintech regulation, institutional finance, municipal securities, panel data analysis, public finance, regression analysis, repurchase agreement market, retirement account design, tax incidence modeling"
Maya Dworsky,"Consent Politics, Linguistic Anthropology, Materiality Of State Violence, Neoliberal Agency, Whiteness, Women Fans, Childhood In Israel","Economics, Humanities & Cultural Studies","Childhood Studies, Consent Politics, Cultural Anthropology, Discourse Analysis, Diversity Training, Educational Policy Reform, Ethnographic Fieldwork, Linguistic Anthropology, Materiality of State Violence, Militarism in Education, Military Education Programs, Neoliberal Agency, Participant Observation, Telescopic Temporality, Textual Analysis, Whiteness Studies"
Megan Gorges,"Emotions, Identity, Life Balance, Meaningful Work, Work, Careers","Entrepreneurship, Leadership & Organizational Development, Technology","Career development, Cultural influence studies, Emotional experience research, Entrepreneurship education, Human capital consulting, Identity negotiation, Identity research, Management training, Meaningful work, Mixed methods research, Organizational behavior, Organizational culture, Organizational development, Qualitative research, Quantitative research, Survey methodology, Thematic analysis, Work-life balance, Work-life boundary management"
Megan Way,"Family Economics: International Trade: Cost Issues In Higher Ed, Labor Economics, Economics","Economics, Finance & Economics, Technology","Case Study Method, Cost Containment Strategies, Econometric Analysis, Family Economics, Gender Earnings Gap, Higher Education Administration, Higher Education Economics, Interdisciplinary Diversity Studies, International Trade, Labor Economics, MBA Program Evaluation, Remote Work Economics, Self-Employment Sector, Socio-Ecological Systems, Statistical Modeling, Survey Research"
Meghan Allen,"Latin American Literature, Foreign Language Pedagogy","Humanities & Cultural Studies, Technology","Close reading, Curriculum design, Digital humanities, Educational administration, Foreign language pedagogy, Higher education, Intercultural communication, Language program coordination, Latin American literature, Media-based pedagogy, Postcolonial studies, Qualitative research, Spanish cinema and culture, Spanish language instruction, Textual analysis, Transnational literature"
Melissa Leonard,"Composition, English, British Literature",Humanities & Cultural Studies,"Archival Research, British Literature, Close Reading, Composition Studies, Critical Pedagogy, Curiosity Studies, Curriculum Development, Emotion in Literature, English Literature, Gothic Literature, Higher Education, Literacy Education, Literature and Psychology, Qualitative Analysis, Rhetorical Analysis, Writing Instruction"
Melissa Manwaring,"Curriculum Design, Learning Assessment, Negotiations, Organizational Behavior, Pedagogy, Alternative Dispute Resolution","Finance, Healthcare, Law, Leadership & Organizational Development, Sustainability, Technology","Alternative Dispute Resolution, Biotechnology Negotiation, Case Method Teaching, Competency Assessment, Cross-Cultural Negotiation, Curriculum Development, Financial Services Negotiation, Healthcare Negotiation, Learning Assessment, Legal Services Negotiation, Manufacturing Negotiation, Meta-Evaluation, Negotiation Analytics, Negotiation Theory, Nonprofit Negotiation, Organizational Behavior, Real-World Analysis, Responsible Management Education, Simulation-Based Learning, Virtual Negotiation Environments"
Michael Bayer,"Finance, Corporate Finance","Entrepreneurship, Finance, Healthcare, Innovation & Strategy, Operations, Retail, Technology","Audio Software, Business Development Strategy, Clean Energy Finance, Cleantech Solutions, Cloud Infrastructure Optimization, Cloud Storage, Cloud Storage Architecture, Corporate Finance, E-commerce Platforms, Entrepreneurship, Financial Modeling, Fintech Innovation, Healthcare Analytics, Healthcare Information Systems, IPO Structuring, M&A Strategy, Mobile Social Networks, Operations Management, Optical Networking, Technology Management, Venture Capital"
Michael Gioia,,"Leadership & Organizational Development, Technology","Active learning, Curriculum development, Digital learning environments, Education technology, Educational pedagogy, Higher education, Instructional design, Interdisciplinary pedagogy, Learner assessment, Online education, Project-based learning, Quantitative literacy, Statistics education"
Michael Goldstein,"Climate Change, Design Of Security Exchanges, Emerging Equity Markets, Financial Institutions, Financial Instruments, Investment Banking, Investments, Securities, Trading Systems, Capital Markets","Finance, Finance & Economics, Marketing, Sustainability, Technology","Arctic Economy, Asset Pricing, Capital Markets, Climate Adaptation Finance, Climate Finance, Decentralized Finance, Emerging Equity Markets, Energy Markets, Event Study, Extreme Value Theory, Financial Institutions, FinTech, Flood Risk Management, High-Frequency Trading Analysis, Insurance Markets, Investment Banking, Market Microstructure, Privatization Finance, Real Estate Finance, Real Options Analysis, Securities Exchange Design, Stochastic Modeling, Textual Analysis"
Michaela Spampinato,"Creative Writing, Rhetoric, Composition","Humanities & Cultural Studies, Technology","Archival Methodology, Close Reading, Creative Writing Pedagogy, Cultural Materialism, Digital Publishing, Digital Storytelling, Early Modern English Literature, Editorial Practice, Elizabethan Drama, Feminist Literary Criticism, Higher Education, History of Sexuality, Jacobean Drama, Lexical Culture Studies, Lexicographical Research, Philological Analysis, Queer Theory, Shakespeare Studies"
Michelle Li,,"Artificial Intelligence, Data, Economics, Marketing, Operations, Operations & Supply Chain, Technology","Circular Economy, Closed-loop Supply Chains, Competitive Supply Chain Management, Consumer Willingness to Pay, Corporate Social Responsibility, Data-Driven Strategic Decision Making, Environmental Taxation, Externality Cost Modeling, Machine Learning Methods, Mixed-Integer Programming, Multiperiod Supply Chain Dynamics, Network Modeling, Operations Research, Optimization Methods, Predictive Analytics, Prescriptive Analytics, Product Refurbishment, Recycling Logistics, Remanufacturing Operations, Supply Chain Management, Sustainable Operations, Trade Policy Analysis"
Miguel Rivera,"Institutions, Poverty Alleviation, Refugee Economies, Social Entrepreneurship, Informality","Entrepreneurship, Innovation & Strategy, Law","Behavioral Agency Framework, Case Study Methodology, Conceptual Framework Development, Corporate Social Responsibility, Global Value Chain Governance, Informal Economy, Institutional Theory, International Business, Market Boundary Dynamics, Multinational Nonprofit Alliances, Ownership Transfer Dynamics, Poverty Alleviation, Public-Private Partnerships, Refugee Economies, Social Entrepreneurship, Social Venture Enterprises, Subsistence Market Supply Chains, Systematic Literature Review"
Mike McGuirk,"Making, Marketing, Programs, To Inform Marketing Strategies, Customer Analytics. Using Insights To Improve Decision","Data, Marketing, Operations & Supply Chain, Technology","Automotive Industry, Customer Experience, Customer Journey Analytics, Descriptive Analytics, Digital Marketing, Fan Behavior Analytics, Food Service Industry, Hospitality Industry, Insurance Industry, Marketing Analytics, Martech Adoption, Nonprofit Organizations, Platform-based Analytics, Predictive Analytics, Prescriptive Analytics, Social Media Analytics, Sports Analytics, Web Analytics"
Miranda Chen,"Business Chinese, Chinese Language Instruction, Distance Learning, Foreign Language Pedagogy, Second Language, Acquisition",Humanities & Cultural Studies,"Business Chinese, Chinese Language Instruction, Distance Learning, Foreign Language Pedagogy, Second Language Acquisition"
Mojtaba Ebrahimian,"Iranian History, Modern Middle Eastern History, Persianate Literature, Travel Writing Studies, Iranian Cinema",Humanities & Cultural Studies,"Iranian Cinema, Iranian History, Modern Middle Eastern History, Persianate Literature, Travel Writing Studies"
Monica Rey,,Humanities & Cultural Studies,"Afterlives of the Hebrew Bible, Critical Discourse Analysis, Exegetical Analysis, Feminist Biblical Studies, Feminist Hermeneutics, Genocidal Rape Studies, Genocide Studies, Hebrew Bible Studies, Historical-Critical Method, Intersections of Genocide and Gender, Reception History, Scripture and Mass Atrocity Prevention, Theological Ethics, Women’s and Gender Studies"
Nada Hashmi,Technology Innovation Adaption Group Dynamics,"Artificial Intelligence, Data, Healthcare, Marketing, Operations & Supply Chain, Technology","Advanced Programming, AI-Enhanced Collaboration, Collaboration Platforms, Collective Intelligence, Data Analytics, Data Science, Database Management, Diversity & Inclusion, Educational Technology, Equity-Focused Technology, Generative AI, Generative AI in Education, Healthcare Technology, Higher Education, Information Systems, Leadership Development, Marketing Strategy, Organizational Studies, Technology-Mediated Leadership, Virtual Group Experiments, Virtual Team Dynamics"
Nakia Navarro,,Humanities & Cultural Studies,"Cultural History, Historical Research, History and Society, Social History"
Nancy Aiken,,"Accounting, Artificial Intelligence, Entrepreneurship, Finance, Law, Law & Governance, Technology","AI Governance in Law, Asset Management Regulation, Blockchain Compliance, Business Law, Compliance Auditing, Contract Analysis, Corporate Compliance, Corporate Governance, Corporate Transactions, Cybersecurity Law, Data Privacy Regulation, Financial Services Compliance, Intellectual Property Law, Legal Research Methods, Legal Studies, Risk Assessment Frameworks, Small Business Advisory"
Nathaniel Karst,"Modeling, Simulation, Applied Mathematics","Leadership & Organizational Development, Technology","Analytical instability analysis, Applied mathematics, Blood flow modeling, Capillary network instabilities, Computational simulation, Ecohydrologic prediction, Ecohydrology sensors, Graph labeling algorithms, Graph theory, Graph-theoretic control, Microvascular flow analysis, Network modeling, Nonlinear dynamics, Nonlinear photonics, Photonic resonator design, Spatio-temporal modeling, Subsurface water prediction, Surface hydrology, Water resource management, Zero forcing algorithms"
Neal Harris,"European Union Economics, Urban Economics, Environmental Economics","Economics, Entrepreneurship, Finance, Finance & Economics, Retail, Technology","Case Study Analysis, Circular Economy, Disruptive Technologies, Economic Impact Assessment, Educational Technology, Environmental Economics, Environmental Impact Assessment, European Union Economics, Green Business Entrepreneurship, Hydropower Infrastructure, Real Estate Finance, Retail Sector Ethics, Smart City Development, Stakeholder Analysis, Sustainable Finance, Ubiquitous Learning, Urban Economics"
Nicholas Gallagher,,"Accounting, Economics, Entrepreneurship, Finance, Law, Law & Governance, Technology","Business Law, Corporate governance, Corporate Law, Digital media, Entrepreneurial Law, Entrepreneurship, Innovation ecosystem governance, Investment fund regulation, Investment Funds, Sports industry, Sports Law, Sports policy regulation, Startup consulting, Startup contract law, Venture capital"
Nicole Heron,,"Accounting, Finance, Law, Law & Governance, Marketing, Sustainability, Technology","accounting education, audit firms, audit litigation risk, auditing, case study methodology, consumer banking, cost accounting, CSR disclosure quality, empirical testing, ESG reporting, financial reporting, financial services, forensic accounting, fraud detection, investment management, literature review synthesis, managerial accounting, manufacturing industry, qualitative analysis, risk modeling"
Nina Lynch,,"Entrepreneurship, Entrepreneurship & Small Ventures","business administration, entrepreneurship, management studies"
Niren Sirohi,"Data Science, Healthcare Analytics, Hr Analytics, Marketing Analytics, Marketing, Analytics","Artificial Intelligence, Data, Law, Operations & Supply Chain, Technology","AI driven Decision Systems, Analytics Product Development, Artificial Intelligence, Business Intelligence, Cloud Infrastructure, Consulting Services, Cross Cultural Team Dynamics, Customer Experience Management, Data driven Change Management, Data Governance, Data Science, Decision Support Systems, Digital Transformation, Information Architecture, Machine Learning, Process Improvement, Revenue Optimization, Strategic Management"
Norm Richter,"Tax Law, Tax Policy, Transactional, International Tax","Accounting, Economics, Healthcare, Law, Law & Governance, Technology","BEPS Framework, Biotech Industry Taxation, Comparative Legal Analysis, Corporate Taxation, Digital Economy Taxation, Fiscal Modeling, Global Minimum Tax, Industrial Manufacturing Taxation, International Taxation, Legislative Analysis, Medical Device Taxation, Multinational Corporate Taxation, Pharmaceutical Taxation, Policy Impact Assessment, Quantitative Tax Analysis, Tax Law, Tax Policy, Tax Transparency"
Olga Birioukova,,"Accounting, Finance, Law & Governance, Technology","Accounting Information Systems, Auditing Practices, Automation Competencies, Business Process Analysis, CPA Practice, Data Analytics, Digital Innovation in Accounting, Digital Labor, Digital Transformation, Digital Workforce, Financial Reporting, Process Automation, Professional Services, Public Accounting, Robotic Process Automation, Virtual Workplace"
Olivia Baldwin,"Poetry, The Expanded Field Of Painting, The Intersection Of Painting, Materiality",Leadership & Organizational Development,"Acrylic painting, Art curation, Arts education, Drawing, Expanded painting field, Gallery exhibitions, Interdisciplinary Art, Intermedia art, Mixed media drawing, Painting, Painting-poetry intersection, Sculptural techniques, Sculpture, Visual Arts, Watercolor painting"
Patrick Gregory,"Financial Management, Governance (Esg) Investing, Investing, Portfolio Management, Risk Management, Security Analysis, Social, Valuation, Environmental","Finance, Finance & Economics, Healthcare, Sustainability, Technology","Discounted Cash Flow, Endowment Fund Management, Equity Valuation, ESG Investing, Fundamental Analysis, Healthcare Equity Investing, Impact Investing, Internet Sector Investing, Investment Management, Performance Attribution, Portfolio Management, Portfolio Optimization, Retirement Fund Management, Risk Management, Risk Modeling, Security Analysis, Sustainable Finance, Telecom Sector Investing"
Paul Griesmer,"Development, Finance, Real Estate Finance, Transaction Structuring, Valuation, Debt Restructuring","Economics, Finance, Finance & Economics, Retail, Technology","Corporate real estate, Due diligence, Financial modeling, Hospitality real estate, Mixed-use development, Office property management, Portfolio analysis, Real estate development, Real estate finance, Real estate restructuring, Real estate valuation, Retail real estate, Sale-leaseback transactions, Site selection analysis, Transaction structuring, Urban economics, Valuation techniques"
Paul Juras,"Management Accounting, Strategic Cost Analysis, Activity Based Costing","Accounting, Finance, Healthcare, Innovation & Strategy, Law, Operations, Sustainability","Activity Based Costing, Aviation Performance, Balanced Scorecard, Banking Governance, Case Analysis, COSO Framework, Cost Management, ESG Reporting, Healthcare Delivery, Identity and Access Management, Industry 4.0, Integrated Thinking, Management Accounting, Outsourcing Management, Performance Measurement, Strategic Cost Analysis, Supply Chain Management, Sustainable Business Management, Trust in Sustainability Reporting"
Paul Schmitz,"American Culture, Immigration, Modern American History, The Arts, Urban Studies, American Business History","Economics, Humanities & Cultural Studies, Technology","American Cultural Studies, Archival Research, Business History, Cultural Policy, Digital Humanities, Heritage Management, Immigration History, Modern American History, Museum Curation, Oral History, Qualitative Analysis, Quantitative Analysis, Socio-Ecological Systems, Spatial Analysis, Spatial Humanities, Urban Ecology, Urban Planning, Urban Studies"
Peter Lert,,"Artificial Intelligence, Data, Finance, Healthcare, Operations, Operations & Supply Chain, Technology","Applied Mathematics, Artificial Intelligence, Big Data, Computational Science, Data Analytics, Financial Analytics, Healthcare Analytics, Machine Learning, Mathematical Modeling, Network Science, Optimization Techniques, Quantitative Analysis, Risk Management, Simulation Modeling, Statistical Modeling, Supply Chain Analytics"
Phillip Kim,"Esg, Founding Teams, Growth, Machine & Deep Learning, Scaling Businesses, Social Innovation, Sociology Of Entrepreneurship, Technology Entrepreneurship, Academic Entrepreneurship","Artificial Intelligence, Entrepreneurship, Entrepreneurship & Small Ventures, Technology","Agriculture Sector, Archival Analysis, Census Data Analysis, Complex Causal Analysis, Cross-national Entrepreneurship, Crowdfunding Platforms, Entrepreneurship, Generative AI Entrepreneurship, Innovation Pedagogy, Institutional Entrepreneurship, Manufacturing Sector, Mixed Methods, Multidisciplinary Entrepreneurship, Non-profit Sector, QCA, Radio Broadcasting, Set-theoretic Modeling, Social Innovation, Social Protection Entrepreneurship, Startup Processes, Survey Research, Technology Entrepreneurship, Technology Transfer Offices"
PJ Guinan,"Empowerment, Leadership, Organizational Behavior (Psychological Safety, Team Development, Digital Transformation","Innovation & Strategy, Marketing, Technology","Case Study Methodology, Change Management, Communication Behavior Analysis, Crisis of Immediacy, Customer Experience Management, Design Thinking, Digital Business Scaling, Digital Customer Experience, Digital Project Management, Digital Service Innovation, Enterprise IT Services, Information Systems, Innovation Management, IT Professional Innovation, Management Consulting, Organizational Behavior, Qualitative Content Analysis, Social Media Analytics, Social Media Marketing, Web 2.0 Innovation"
Rachel Weiser,"Gender, Memorialization, Memory, Modern European History, Modern Germany, Museums, Sexuality, Digital Humanities","Humanities & Cultural Studies, Technology","Archival Research, Cultural Heritage Management, Digital Archiving, Digital Exhibition Design, Digital Humanities, Digital Memorialization, Digital Memory Studies, Gender and Digital Archives, Gender and Sexuality Studies, Heritage Preservation, Interactive Exhibits, Memory and Memorialization, Modern European History, Modern German History, Museum Curation, Museum Education, Museum Studies, Oral History Interviews, Public History Outreach, Virtual Museum Technology"
Ramon Salinas,Corporate Innovation Innovation Processes Design Thinking,"Entrepreneurship, Healthcare, Innovation & Strategy, Marketing, Technology","Automotive Industry, Consumer Goods, Consumer Research Methods, Corporate Strategy, Corporate Venturing, Design Thinking, Digital Innovation, Entrepreneurship Education, Healthcare Products, Human-Centered Design, Innovation Management, Innovation Process Framework, Oil and Gas Sector, Open Innovation, Service Design, User-Centered Research"
Richard Bliss,"Corporate Strategy, Entrepreneurial Finance, Corporate Finance","Entrepreneurship, Finance, Finance & Economics, Sustainability, Technology","Alternative Investments, Behavioral Experiments, Behavioral Finance, Case Study Method, Comparative Analysis, Corporate Finance, Corporate Strategy, Econometric Modeling, Emerging Market Finance, Entrepreneurial Finance, ESG Investing, Gender Diversity, Innovative Financial Technologies, Mergers and Acquisitions, Mutual Fund Management, Network Analysis, Portfolio Management, Small Business Finance, Women Entrepreneurship"
Richard Block,"Activity Based Budgeting, Activity Based Costing, Management Reporting, Working Capital Management, Accounting Information Systems","Accounting, Entrepreneurship, Finance, Finance & Economics, Operations, Technology","Accounting information systems, Activity based budgeting, Activity based costing, Energy industry finance, Film production finance, Financial data analytics, IRR analysis, Management reporting, Managerial accounting, Spreadsheet modeling, Supply chain consulting, Venture capital finance, Working capital management"
Richard Cleary,"Market Research, Sports Research, Statistics, Biomechanics","Data, Finance, Operations & Supply Chain, Technology","Biomechanical Modeling, Biomechanics, Curriculum Pathways Design, Educational Assessment, Fracture Risk Prediction, Fraud Detection, Inclusivity in Mathematics, Linear Algebra, Market Research, Market Research Analytics, Mathematical Fairness, Mathematical Oncology, Mathematics Education, Probability Modeling, Risk Assessment, Social Choice Theory, Sports Analytics, Sports Performance Analysis, Statistical Inference, Statistics"
Richard Hanna,"Digital Marketing, Market Research, Marketing Strategy, Promotions, Social Media, Analytics & Experimental Design","Finance, Marketing, Marketing & Consumer Behavior, Technology","B2B Marketing, Brand Management, Consumer Decision Making, Consumer Technology Adoption, Crowdsourcing Methods, Digital Marketing, Email Marketing, eSports Media Marketing, Marketing Analytics, Marketing Ethics and Leadership, Marketing Research, Multimedia Content Analysis, Online Price Transparency, Price Promotion Optimization, Pricing Strategy, Promotional Strategies, Social Media Advertising, Social Media Marketing, Statistical Modeling, Storytelling in Multimedia"
Richard Wang,"Management Of Innovation, Competitive Strategy","Economics, Entrepreneurship, Innovation & Strategy, Retail, Technology","Aerospace maintenance, Business-government policy, Cannabis market dynamics, Cannabis retail sector, Case study methodology, Competitive analysis, Competitive strategy, Digital ecosystem strategy, Digital publishing platforms, Ecosystem analysis, Entrepreneurship, Field research, Industry analysis, Innovation management, Luxury goods manufacturing, Platform analytics, Public policy analytics, Qualitative research, Regulatory impact analysis, Satellite television industry, Tournament-based innovation"
Robert Barry,,"Accounting, Finance, Law, Law & Governance","Business Law, Case Law Analysis, Contract Law, Corporate Compliance, Corporate Governance, Doctrinal Analysis, Legal Consulting, Legal Ethics, Legal Research Methods, Regulatory Compliance, Risk Management"
Robert Bonnevie,"Leadership Development, Leadership, Coaching","Leadership & Organizational Development, Technology","360-Degree Feedback, Career Counseling, Career Management Programs, Change Management Consulting, Change Management Strategies, Coaching Interventions, Competency Modeling, Conflict Management, Corporate Leadership Development, Executive Coaching, Human Resources Consulting, Leadership Development, Leadership Workshops, Management Assessment, Organizational Development Services, Organizational Psychology, Psychometric Assessment"
Robert McCullough,,"Artificial Intelligence, Humanities & Cultural Studies, Technology","AI Assemblages, Archival Research Methods, Archival Studies, Assemblage Theory, Business Communication, Composition Theory, Computational Rhetoric, Critical Literacies, Digital Composing Platforms, Digital Humanities, Digital Rhetoric, Education Technology, Ethical AI Studies, Heuristic Analysis, Multimodal Analysis, Multimodal Composition, Professional Communication, Text Technologies, Writing Program Administration"
Robert Schultz,"Patient Advocacy, Life Science Entrepreneurship","Entrepreneurship, Healthcare, Innovation & Strategy, Technology","Biotechnology enterprise, Business intelligence analytics, Cystic fibrosis monitoring, Digital health innovation, Healthcare entrepreneurship, Healthcare startup incubation, Healthtech entrepreneurship, Innovation ecosystem mapping, Interdisciplinary biotech ecosystems, Life science consulting, Life science entrepreneurship, Patient advocacy, Patient monitoring systems, Patient-driven business models, Rare disease management, Rare disease therapeutics, SaaS platform development"
Ron Pierantozzi,,"Innovation & Strategy, Technology","case study methodology, corporate R&D, digital transformation, dynamic capabilities, innovation ecosystems, innovation management, manufacturing sector, open innovation, portfolio analysis, portfolio strategy, product development, quantitative modeling, service innovation, stage-gate process, strategic management, technology commercialization"
Ruben Mancha,"Sustainability, Digital Transformation","Entrepreneurship, Innovation & Strategy, Technology","Business Analytics, Citizen Development, Corporate Social Responsibility, Data Mining, Digital Academies, Digital Entrepreneurship, Digital Leadership, Digital Talent Management, Digital Transformation, Emergent IoT Strategies, Entrepreneurial Education, Information Systems, Innovation Management, IoT Digital Services, IoT Integration, Low-Code Development, Nonprofit Digital Platforms, Sharing Economy Platforms, Small and Medium Enterprises, Structural Equation Modeling"
Ruth Gilleran,"Entrepreneurship Of All Kinds With A Focus On New Product, Iot, Process Innovation. Digital Innovation Including The Use Of Artificial Intelligence, Blockchain","Accounting, Artificial Intelligence, Data, Entrepreneurship, Finance, Marketing, Operations, Operations & Supply Chain, Retail, Technology","Accountant digital innovation, Accounting information systems, Agile methodology, AI for entrepreneurship, Blockchain in supply chain, Blockchain technology, Business analytics, Business application development, Business intelligence, Cloud computing, Consumer goods industry, Diamond supply chain, Digital brand strategy, eCommerce, eCommerce platforms, Enterprise resource planning, Experiential digital learning, Experiential learning, Financial auditing systems, Information systems, Mainframe software deployment, Supervised machine learning, Supply chain management"
Ryan Davies,"Design Of Security Exchanges, Finance, Financial Markets, Market Structure, Money Management, Mutual Funds, Securities Law, Trading Costs, Trading Systems, Capital Markets","Finance, Finance & Economics, Law, Technology","Algorithmic trading strategies, Capital markets trading, Commodity futures trading, Derivatives markets, Financial market microstructure, Fixed income markets, Hedge fund management, High-frequency market analysis, Market manipulation detection, Matched sample estimation, Mutual fund trading, Portfolio optimization, Portfolio optimization method, Price discovery, Real-time market data, RegTech in capital markets, Securities regulation, Trade-time liquidity metrics, Trading simulation software"
Salvatore Parise,"Social Media Applications, Social Networks, Strategic Alliances, Knowledge Management","Artificial Intelligence, Entrepreneurship, Finance, Innovation & Strategy, Marketing, Technology","Crowdsourcing, Customer Experience Management, Digital Academies, Digital Leadership, Digital Project Management, Digital Transformation, Educational Technology, Emotional Carrying Capacity, Enterprise 2.0 Platforms, Entrepreneurship, Financial Services, Generative AI in Education, Innovation Management, Innovative Digital Project Teams, Knowledge Management, Music Industry, Project Management, Social Media Research, Social Network Analysis, Social Networks, Strategic Alliances, Web 2.0 Technologies"
Sam Kwachie,,"Economics, Finance & Economics",Economics
Samantha Cross,,"Economics, Marketing, Marketing & Consumer Behavior, Sustainability","climate action mobilization, consumer behavior, consumer psychology, environmental advocacy, experimental design, market-challenged consumers, marketing science, marketplace dynamics, narrative analysis, narrative-driven activism, public policy marketing, qualitative interviews, responsible business research, service disparity analysis, social movement studies, survey research"
Samantha Wallace,"Feminist Literary Criticism & Theory, First Century Literature, History Of Sexuality (Including Queer Theory), Rhetoric, Twentieth, Twenty, Composition","Humanities & Cultural Studies, Technology","Academic Publishing, Academic Research Writing, Cultural Institution Programming, Digital Education Platforms, Digital Humanities Methods, English Language and Literature, Expository Writing, Feminist Digital Archives, Global Cultural Studies, Global Digital Literacy, Higher Education, Interdisciplinary Multimedia Studies, Interdisciplinary Teaching Methods, Multimedia Pedagogy, Qualitative Textual Analysis, Transmedia Storytelling, Virtual Reality Education, Women’s Literature"
Sandra Bravo,"Entrepreneurship, Strategy, Communications In The Field Of \u200bMarketing","Entrepreneurship, Marketing, Marketing & Consumer Behavior, Technology","Advertising Campaign Development, Consumer Behavior, Digital Brand Strategy, Entrepreneurship, Environmental Services Marketing, Experiential Information Systems, Experiential Learning, Foster Care Advocacy, Humanitarian Crisis Communication, Marketing Communications, Marketing Research, Marketing Strategy, Multicultural Advertising, Nonprofit Marketing, Positioning Strategy, Recruitment Marketing, SME Marketing, Social Entrepreneurship, Social Impact Marketing, Value Proposition Design"
Sandra Graham,"Black Theater, Ethnomusicology, Musical Theater, Popular Music, African American Sacred",Humanities & Cultural Studies,"African American Music, Archival Research, Arts Administration, Audio Recording, Black Entertainment Industry Studies, Blackface Minstrelsy, Cultural Heritage Preservation, Decolonial Ethnomusicology, Entertainment Industry Studies, Ethnographic Fieldwork, Ethnomusicology, Global Popular Music, Music Education, Music Memory Studies, Music Publishing, Music Traditions, Music Transcription, Musical Theater, Performance Analysis, Transnational Pop Music"
Sarah Quinn,"Ecological Systems, Ecology, Marine Science, Microbial Processes, Pollution, Socio, Sustainability, The Global Climate Crisis, Biogeochemistry","Leadership & Organizational Development, Sustainability","Biogeochemical flux analysis, Biogeochemistry, Climate change impacts, Coastal marine ecosystems, Coastal pollution mitigation, Environmental impact assessment, Estuarine hypoxia dynamics, Field-based sampling, Marine ecology, Marine resource management, Molecular ecology methods, Nitrous oxide sediment uptake, Oceanography, Sediment nitrogen fixation, Silicon cycling in macroalgae, Sustainable coastal management, Water-quality monitoring"
Saskia Kusnecov,,"Artificial Intelligence, Data, Operations & Supply Chain, Technology","Academic Librarianship, Academic Libraries, AI in Libraries, Data Curation, Digital Humanities, Digital Libraries, Digital Scholarship, Higher Education, Humanities Librarianship, Information Literacy, Information Retrieval, Instructional Design, Library Instruction Technology, Library Science, Linked Data, Metadata Standards, Open Science, Research Data Management, Research Support Services"
Scott Taylor,"Organizational Behavior, Leader Development",Leadership & Organizational Development,"360-degree feedback, Competency development, COVID-19 leadership, Emotional intelligence, Executive coaching, Executive training, Field experiments, Gender bias mitigation, Leader development, Leadership assessment, Leadership consulting, MeToo workplace dynamics, Organizational behavior, Organizational development, Psychometric assessment, Resonant leadership, Self–other rating, Sustainable change, Talent management, Virtual coaching"
